project_id,project_title,major,target_field,difficulty,estimated_time,skills_required,skills_learned,deliverables,resume_value_1_10,portfolio_value_1_10,verification_type,source_type,career_signal,why_this_project_is_good
P084,Process Mapping and Lean Audit of a Campus Operation,Operations,Operations,Beginner,3-4 weeks,None,"Value stream mapping, lean concepts, recommendations","Process map, 6-page audit, stakeholder letter",7,7,Letter + audit,On-campus,Operations improvement proof,On-campus client + lean toolkit produces a credible internship-style artifact
P085,Inventory Forecasting Model for a Local Retailer,Operations,Operations,Intermediate,3-4 weeks,Excel intermediate,"Forecasting methods, safety stock, sensitivity","Excel model, 4-page memo, owner letter",8,7,Excel + letter,Local business,Operations improvement proof,Real client + numerical model is exactly the work supply chain analysts perform
P086,Synthetic Warehouse Layout Optimization Case Study,Operations,Operations,Intermediate,3-4 weeks,Basic CAD or sketching,"Layout optimization, picking efficiency, capacity planning","Before/after layout diagrams, calculation workbook, 5-page case study",7,7,Case study PDF + workbook + diagrams,At-home,Operations improvement proof,"A fixed synthetic warehouse case supports reproducible travel, capacity, safety, and implementation trade-off analysis"
P087,Public-Data Local Submarket Analysis,Real Estate,Real Estate,Beginner,3-4 weeks,Research,"Comps analysis, market metrics, executive writing","10-page market report, 1-page executive summary, cited comparable table and assumptions log",7,7,PDF report + cited comparable table,At-home,Client-facing proof,Submarket reports are a common junior CRE deliverable
P088,Fictional Multifamily Pro Forma + Investment Memo,Real Estate,Real Estate,Intermediate,3-4 weeks,Excel intermediate,"Pro forma, cap rate, IRR, sensitivity","Editable pro forma model, 3-page memo, case-input and formula-check sheet",8,8,Editable model + memo + input checks,At-home,Finance modeling proof,A bounded fictional pro forma with an explicit Year 1 operating-expense base and compound-growth rule supports a common REPE analyst exercise without proprietary deal data
P089,Property Tour Video + Marketing One-Pager,Real Estate,Real Estate,Beginner,2-3 weeks,Phone camera,"Property storytelling, layout description, marketing copy","3-min tour video, 1-page brochure",6,7,Video + PDF,Local business,Client-facing proof,Light but tangible client-facing artifact that doubles as portfolio content
P090,CDC NHANES Public-Use Data Cleaning and Descriptive Analysis,Healthcare,Healthcare,Beginner,3-4 weeks,Excel or Python basics,"Pandas, codebook-based cleaning, descriptive statistics","Notebook, GitHub repo, reproducible cleaning log, 1-page summary",7,7,GitHub repo + summary,At-home,Data analysis proof,A de-identified public-use health survey exercise demonstrates traceable cleaning and descriptive analysis without clinical or patient-level claims
P091,Hospital Process Improvement Case Study,Healthcare,Healthcare,Beginner,3-4 weeks,Writing,"Lean healthcare, process mapping, stakeholder framing","8-page case PDF, 1-page exec summary",7,7,PDF case,At-home,Operations improvement proof,Healthcare ops case is a strong proxy for consulting and admin internship recruiting
P092,Wearable Heart Rate Project with Arduino,Biomedical Engineering,Healthcare,Intermediate,4-6 weeks,"Electronics, Arduino basics","Sensor integration, biosignal processing, IRB-aware reporting","GitHub repo, demo video, technical brief",8,8,GitHub + video,At-home,Hardware prototype proof,Biomedical hardware with a clear signal output is unusual at undergrad level
P093,CDC PLACES Public Health Dashboard,Healthcare,Healthcare,Beginner,3-4 weeks,Excel basics,"Tableau, KPI framing, public data sourcing","Viewable Tableau Public link, packaged workbook or export, 1-page write-up, CDC source log",7,8,Tableau Public link + write-up,At-home,Data analysis proof,A public aggregate-health dashboard demonstrates source traceability, denominator handling, accessible visualization, and non-clinical interpretation
P094,Medical Device Concept Pitch with CAD Mockup,Biomedical Engineering,Healthcare,Intermediate,4-5 weeks,Basic CAD,"Concept generation, user research basics, CAD mockup","CAD renders, 10-slide pitch, 1-page need statement",8,8,Renders + deck,At-home,CAD/design proof,Connects engineering to a clinical need with a portfolio-ready visual artifact
P095,BLS Compensation Benchmarking Study for a Role Family,Human Resources,Human Resources,Beginner,2-3 weeks,Excel basics,"Salary data sourcing, range design, presentation","Excel or Google Sheets workbook, 3-page memo, 1-page summary, OEWS source and normalization log",6,6,Editable workbook + memo + source log,At-home,Business analytics proof,Comp work is a common analyst-track HR deliverable
P096,Employee Survey Design and Synthetic Analysis (Fictional Scenario),Human Resources,Human Resources,Beginner,2-3 weeks,None,"Survey design, synthetic data, descriptive statistics, recommendations","Survey instrument, seeded synthetic response dataset, results report, action memo",6,6,Survey files + report + memo,At-home,People analytics proof,A fictional student-organization case demonstrates ethical survey design and analysis without requiring a partner or real respondents
P097,Diversity & Inclusion Audit of a Campus Org Hiring Process,Human Resources,Human Resources,Beginner,3-4 weeks,Writing,"DEI frameworks, interview research, recommendation writing","8-page audit, action plan, stakeholder letter",7,7,Letter + audit,On-campus,Client-facing proof,DEI process work is increasingly central to entry-level HR roles
P098,Chicago Residential Composting Expansion Policy Memo,Public Sector,Legal / Public Sector,Beginner,3-4 weeks,"Writing, research","Policy memo structure, stakeholder analysis, citation","8-page memo, 1-page executive summary, dated authority and source list",7,7,PDF memo + source list,At-home,Client-facing proof,A fixed municipal-policy case demonstrates primary-source research, alternatives, fiscal and operational trade-offs, and bounded recommendations
P099,Pro Bono Legal Intake Workflow for a Clinic,Public Sector,Legal / Public Sector,Beginner,3-4 weeks,Writing,"Workflow mapping, plain-language drafting, stakeholder interviews","Workflow diagram, intake template, stakeholder letter",7,7,Letter + diagram,Nonprofit/community,Client-facing proof,Real clinic + signed letter is a credible public-interest law signal
P100,Legal Research Brief on Loper Bright Enterprises v. Raimondo,Public Sector,Legal / Public Sector,Beginner,2-3 weeks,Writing,"Case briefing, legal citation, plain-language summary","5-page academic brief, 1-page plain-language summary, authority and subsequent-history log",6,6,PDF brief + source log,At-home,Research proof,A bounded academic case brief using the official 2024 Supreme Court opinion demonstrates authority checking and plain-language synthesis without offering legal advice
P101,UX Redesign Case Study for a Fictional Campus Event Finder,Design,Design / UX,Beginner,3-4 weeks,Figma basics,"Heuristic evaluation, wireframing, prototyping","View-only Figma prototype link, 8-page case study PDF, before/after screens, heuristic evidence",7,9,Viewable Figma link + PDF,At-home,UX/design portfolio proof,A clearly fictional practice case demonstrates evidence-linked design iteration without implying product affiliation or invented user findings
P102,End-to-End App Design (Problem -> Hi-Fi Prototype),Design,Design / UX,Intermediate,5-7 weeks,Figma intermediate,"Heuristic evaluation or consent-based research, IA, prototyping, design system","View-only Figma prototype link, 12-page case PDF, heuristic or participant-research evidence",9,10,Viewable Figma link + case-study PDF,At-home,UX/design portfolio proof,An end-to-end design case demonstrates traceable problem framing, information architecture, prototyping, accessibility, and evaluation
P103,Design System for a Student Org,Design,Design / UX,Intermediate,3-4 weeks,Figma intermediate,"Component libraries, tokens, documentation","Figma file, 3-page documentation, usage examples",7,8,Figma file,On-campus,UX/design portfolio proof,Design systems are how senior designers communicate — practicing them as a student is highly differentiated
P104,Accessibility Audit of a Public Website,Design,Design / UX,Intermediate,3-4 weeks,Basic web,"WCAG, axe-core or Lighthouse, manual accessibility evaluation, report writing","Audit PDF, GitHub repo with scripts, annotated screenshots, reproducible issue log",8,8,PDF + GitHub,At-home,UX/design portfolio proof,"The outcome is an evidence-based audit of a bounded public page set with automated and manual findings; it is not a certification, legal opinion, or compliance claim"
P105,Brand Identity System for a Local Business,Design,Design / UX,Beginner,3-4 weeks,Figma or Illustrator basics,"Logo, palette, type system, brand book","Brand book PDF, source files, owner letter",7,8,Letter + PDF,Local business,UX/design portfolio proof,Real client + brand book is the cleanest visual identity portfolio piece
P106,Free Tutoring Program with Outcome Tracking,Education,Education,Beginner,one semester,Subject knowledge,"Lesson design, progress tracking, parent communication","Lesson plan archive, anonymized progress log, testimonial",7,6,Testimonials + log,Nonprofit/community,Client-facing proof,Tracked outcomes turn a soft activity into a quantifiable resume bullet
P107,Open Educational Resource (OER) Module,Education,Education,Beginner,3-4 weeks,Subject knowledge,"Backward design, assessment alignment, accessibility, Creative Commons licensing","Hosted module link, downloadable module package, 1-page methodology, license and attribution log",6,7,Public module link + files,At-home,Education portfolio proof,"A licensed, accessible learning module with aligned objectives and assessment provides inspectable instructional-design evidence"
P108,EdTech Classroom Pilot with a Local Teacher,Education,Education,Intermediate,one semester,Subject knowledge,"Pilot design, observation notes, teacher feedback","Pilot plan, observation log, teacher letter",8,7,Letter + log,Local business,Client-facing proof,Real classroom + teacher letter is one of the strongest education portfolio signals
P109,Independent Podcast Series (5 Episodes),Communications,Media / Communications,Beginner,one semester,"Writing, basic audio","Show planning, interviewing, editing, distribution","Public podcast feed, show notes, episode artwork",7,8,Public feed,At-home,UX/design portfolio proof,A publicly shipped series is more credible than any solo article — distribution proof matters
P110,Public-Records Investigative Article on a Local Government Issue,Communications,Media / Communications,Intermediate,4-6 weeks,Writing,"Source verification, public-records research, fact-checking, narrative structure","Published or publishable 2000-word piece, source ledger, fact-check and rights notes",8,7,Published link or PDF + methodology,At-home,Research proof,A public-records-first reporting exercise demonstrates verification and editorial discipline without depending on interviews or risky field reporting
P111,Short Documentary (5-7 min),Communications,Media / Communications,Intermediate,6-8 weeks,Phone camera or rights-cleared public-domain media,"Pre-production, narration or consent-based interviews, filming, editing, captions","Unlisted/public video link with captions, production notes, source and permission log",8,9,Public/unlisted video link + production notes,At-home,UX/design portfolio proof,A short documentary built from student-owned or rights-cleared media is a high-engagement media portfolio artifact
P112,Newsletter Series with Real Subscribers,Communications,Media / Communications,Beginner,one semester,Writing,"Voice, cadence, list-building","Public newsletter archive, subscriber count screenshot",6,7,Public archive,At-home,Marketing analytics proof,A live newsletter with subscribers is auditable proof of audience-building
P113,Synthetic Retail Floor-Plan and Conversion Scenario,Business,Retail,Beginner,2-3 weeks,Excel basics,"Foot traffic estimation, conversion math, layout recommendations","Before/after layout diagrams, editable Excel analysis, 4-page memo, assumptions log",7,7,Memo + diagrams + editable workbook,At-home,Operations improvement proof,"A fixed fictional store scenario supports transparent layout and conversion calculations without a client, observation, or private transaction data"
P114,Offline E-commerce Product Listing Optimization Audit,Business,Retail,Beginner,2-3 weeks,"Writing, basic photography","Listing copy, SEO basics, image-variant design, experiment planning","Fictional or unaffiliated before/after listing PDF, keyword rationale, image variants, offline test plan",7,7,Listing audit PDF + offline test plan,At-home,Marketing analytics proof,An offline listing audit is a common retail practice artifact without requiring merchant access or live performance claims
P115,Pop-Up Shop Plan + Execution Recap,Business,Retail,Intermediate,one semester,"Writing, basic budgeting","Event planning, vendor coordination, P&L","Plan PDF, photos, P&L Excel, learnings memo",8,8,Plan + photos + memo,On-campus,Client-facing proof,An actually-executed event with a P&L is end-to-end business operations proof
P116,Internal Hackathon Win with a Shipped Demo,Computer Science,Tech,Intermediate,48 hours,One programming language,"Rapid prototyping, demo polish, team collaboration","Demo video, GitHub repo, prize/finalist screenshot",8,9,Hackathon record + GitHub,Competition,Full-stack proof,Hackathon wins are heavily over-indexed in successful first-internship resumes
P117,Research Assistant Output: Conference Poster,Multiple,Education,Intermediate,one semester,Subject basics,"Literature review, data presentation, poster design","Conference poster PDF, abstract, faculty letter",9,8,Faculty letter + poster,On-campus,Research proof,A faculty-co-authored poster is one of the strongest non-internship academic signals
P118,Undergraduate Research Paper Submission,Multiple,Education,Advanced,one semester,Subject knowledge,"Literature review, methods, scientific writing","Manuscript PDF, submission confirmation, faculty letter",9,8,Faculty letter + manuscript,Research-style,Research proof,Submission to a UG journal or workshop is a step beyond a poster and signals true research depth
P119,Volunteer Tech Build for a Nonprofit Site,Computer Science,Tech,Intermediate,4-6 weeks,Basic web,"HTML/CSS, CMS or Webflow, stakeholder communication","Live site, GitHub repo, nonprofit letter",8,8,Letter + live site,Nonprofit/community,Client-facing proof,A live nonprofit site with a signed letter beats a personal portfolio site every time
P120,YouTube Tutorial Series in Your Major,Multiple,Media / Communications,Beginner,one semester,Subject basics,"Scripting, recording, editing, growth","Public channel link, 5 published videos",6,8,Public channel,At-home,UX/design portfolio proof,"Public teaching content is differentiated, durable, and growth-trackable"
P121,Public Speaking Series (Toastmasters or Campus),Multiple,Media / Communications,Beginner,one semester,None,"Speech writing, pacing, audience feedback","Toastmasters CCs or campus speaking calendar, recorded clip",6,5,Recorded clip + log,On-campus,Leadership proof,Lightweight but verifiable soft-skill proof that pairs well with a technical project
P122,Lead a Cross-Major Team for a Campus Initiative,Multiple,Consulting,Intermediate,one semester,Communication,"Project scoping, delegation, stakeholder updates","Initiative artifact, team-signed retrospective, faculty letter",8,7,Faculty letter + artifact,On-campus,Leadership proof,Cross-major leadership is the most consistent soft-signal in early-career promotions
P123,GitHub Streak: 90 Days of Daily Commits,Computer Science,Tech,Beginner,3 months,One programming language,"Discipline, version control habits, project shipping","Public GitHub streak screenshot, 5+ shipped projects",6,8,Public profile,At-home,Backend/API proof,A visible streak signals discipline that interviewers cannot fake out of you
P124,Coursera/edX Specialization with Capstone,Multiple,Education,Beginner,8-10 weeks,None,"Sustained study, capstone delivery","Verified certificate, capstone artifact",6,6,Certificate + capstone,Third-party,Research proof,A capstoned specialization is a credible structured-learning proof
P125,Personal Side Business with $100 Revenue,Business,Consulting,Intermediate,one semester,"Writing, basic marketing","Customer discovery, transaction handling, P&L","Stripe/PayPal screenshot (redacted), 2-page case study",8,8,Redacted revenue proof,At-home,Client-facing proof,Actual revenue is the only signal that cannot be faked — even $100 proves the loop
P126,Translate Open Documentation for a Tool,Multiple,Tech,Beginner,3-4 weeks,"Second language, basic Git","Documentation, contribution etiquette, technical writing","Merged PRs, GitHub profile",6,6,GitHub PR record,Third-party,Backend/API proof,Tractable open-source on-ramp that builds real GitHub history
P127,Replicate a Famous ML Paper (Educational),Computer Science,AI/ML,Advanced,6-8 weeks,"Python intermediate, PyTorch","Paper reading, reproduction, ablation","GitHub repo, notes PDF, training curves",9,9,GitHub + write-up,Research-style,AI/ML proof,Reproducing a paper is the single highest-trust ML signal short of publication
P128,Build and Publish a Python Package (PyPI),Computer Science,Tech,Intermediate,3-4 weeks,Python intermediate,"Packaging, semver, docs, CI","PyPI listing, GitHub repo, documentation site",8,8,PyPI page + GitHub,At-home,Backend/API proof,"A published PyPI package is durable, citeable, and rare among undergrads"
P129,Open Source Test Coverage Improvement,Computer Science,Tech,Intermediate,3-4 weeks,"Git, one programming language","Unit testing frameworks, coverage tooling, PR etiquette","Merged PRs, coverage delta screenshots",8,7,Merged PRs,Third-party,Full-stack proof,Test contributions are an easier path to merged PRs and demonstrate testing discipline
P130,Annotated Dataset Release on Hugging Face,Computer Science,AI/ML,Intermediate,3-4 weeks,Python basics,"Data sourcing, licensing, dataset cards","Public HF dataset, model card, GitHub repo",8,8,HF dataset link,At-home,AI/ML proof,Publishing a dataset is unusually high-leverage — anyone can train on your work
